diaperid,diapertick,diaperdeviceid
1,10/27/2015 8:04,1
2,10/27/2015 10:21,1
3,10/27/2015 14:46,1
4,10/29/2015 7:53,1
5,10/29/2015 11:59,1
6,10/29/2015 14:28,1
7,10/31/2015 8:05,1
8,10/31/2015 13:39,1
9,10/31/2015 20:32,1
10,11/1/2015 7:34,1
11,11/1/2015 11:04,1
12,11/1/2015 15:39,1
13,11/2/2015 6:35,1
14,11/2/2015 7:27,1
15,11/2/2015 11:51,1
16,11/2/2015 16:58,1
17,11/3/2015 7:24,1
18,11/3/2015 9:14,1
19,11/3/2015 11:56,1
20,11/3/2015 16:12,1
21,11/5/2015 7:40,1
22,11/5/2015 12:02,1
23,11/5/15 2:48 PM,1
24,11/7/2015 7:46,1
25,11/7/2015 11:12,1
26,11/7/2015 16:13,1
27,11/8/2015 7:14,1
28,11/8/2015 10:37,1
29,11/8/2015 11:49,1
30,11/8/2015 15:02,1
31,11/8/2015 15:20,1
32,11/10/2015 8:44,1
33,11/10/2015 8:58,1
34,11/10/2015 12:02,1
35,11/10/2015 16:58,1
